순위,title,artist,장르
35위,Freedom (Feat. DUT2) (Prod. Way Ched), 릴러말즈 (Leellamarz),랩/힙합
36위,삐삐, 아이유(IU),랩/힙합
37위,낮 밤 (feat. 박재범), 이영지,랩/힙합
38위,봄날, 방탄소년단,랩/힙합
39위,멜로디, ASH ISLAND,랩/힙합
40위,비도 오고 그래서 (Feat. 신용재), 헤이즈(Heize),랩/힙합
41위,방화 (Arson), j,랩/힙합
42위,Trip (Feat. Hannah), 릴러말즈 (Leellamarz),랩/힙합
43위,거리마다 (Feat. I.M of 몬스타엑스), 헤이즈(Heize),랩/힙합
44위,도둑놈 (Feat. 민니 of (여자)아이들), 헤이즈(Heize),랩/힙합
45위,자니 (feat. Dynamic Duo), 프라이머리,랩/힙합
46위,And July (feat. DEAN,,랩/힙합
47위,[19금], 박재범,랩/힙합
48위,하지마, 릴러말즈 (Leellamarz),랩/힙합
49위,네가 없는 밤 (Feat. ASH ISLAND) (Prod. GRAY), BE'O (비오),랩/힙합
50위,Good Night (Feat. BE'O), 쿠기 (Coogie),랩/힙합
51위,Valley of Lies (feat. iann dior), 투모로우바이투게더,랩/힙합
52위,Nerdy Love (Feat. 백예린), pH,랩/힙합
53위,그래서 그래 (Feat. 윤하), 에픽하이 (EPIK HIGH),랩/힙합
54위,어떻게 지내 (Prod. By VAN.C), 오반,랩/힙합
55위,뚜두뚜두 (DDU,DU DDU,랩/힙합
56위,OUT OF MY SIGHT, 릴러말즈 (Leellamarz),랩/힙합
57위,Y (Please Tell Me Why), 프리스타일(Free Style),랩/힙합
58위,last day, Royal 44,랩/힙합
59위,비 오는 날 듣기 좋은 노래 (Feat. Colde), 에픽하이 (EPIK HIGH),랩/힙합
60위,GONE (Feat. Paloalto) (Prod. TOIL), 릴러말즈 (Leellamarz),랩/힙합
61위,Born Singer, 방탄소년단,랩/힙합
62위,VVS (Feat. JUSTHIS) (Prod. GroovyRoom), 미란이 (Mirani),랩/힙합
63위,우산 (feat. 윤하), 에픽하이 (EPIK HIGH),랩/힙합
64위,Joker (Feat. JAMIE), BIG Naughty (서동현),랩/힙합
65위,Pretty Savage, BLACKPINK,랩/힙합
66위,Hello Future, NCT DREAM,랩/힙합
67위,Life Goes On, 방탄소년단,랩/힙합
68위,MORE, j,랩/힙합
69위,다라리 (DARARI), TREASURE(트레저),랩/힙합
70위,쉬어 (Feat. MINO) (Prod. GRAY), MINO(송민호),랩/힙합
71위,어쩌면 우리 (Feat. 죠지), 헤이즈(Heize),랩/힙합
72위,Kill This Love, BLACKPINK,랩/힙합
73위,뜨거운 안녕 (feat. 성시경), 싸이 (PSY),랩/힙합
74위,아무노래, 지코,랩/힙합
75위,돌아오지마 (Feat. 용준형 of 비스트), 헤이즈(Heize),랩/힙합
76위,Officially Missing You, 긱스(Geeks),랩/힙합
77위,Downtown Baby, 블루(BLOO),랩/힙합
78위,마.피.아. In the morning, ITZY (있지),랩/힙합
79위,HER, 블락비(Block B),랩/힙합
80위,? (물음표) (feat. 최자 Of 다이나믹듀오,,랩/힙합
81위,Good Boy Gone Bad, 투모로우바이투게더,랩/힙합
82위,Cheese ball (feat. Kid Milli), 안병웅,랩/힙합
83위,달려라 방탄, 방탄소년단,랩/힙합
84위,Wake Up (Prod. 코드 쿤스트), 개코,랩/힙합
85위,붉은 노을, BIGBANG (빅뱅),랩/힙합
86위,Beautiful (Feat. Skinny Brown), ASH ISLAND,랩/힙합
87위,우리서로사랑하지는말자, 기리보이,랩/힙합
88위,Love (feat. Bumkey,,랩/힙합
89위,The Rando, LINEZ 9,랩/힙합
90위,#NAME?, j,랩/힙합
91위,한여름밤의 꿀, San E(산이),랩/힙합
92위,Metal, SCM,랩/힙합
93위,MONEY, 리사(LISA),랩/힙합
94위,안았어야해 (Feat. Futuristic Swaver), JAEHA (재하),랩/힙합
95위,불협화음 (Feat. AKMU) (Prod. GRAY), Mudd the student,랩/힙합
96위,FAMILY, WINNER,랩/힙합
97위,STOP (세상에 나쁜 사람은 없다), j,랩/힙합
98위,헤어지지 못하는 여자,,랩/힙합
99위,FAKE LOVE, 방탄소년단,랩/힙합
100위,끝나지 않은 얘기 (Feat. 다이나믹 듀오), 릴러말즈 (Leellamarz),랩/힙합
1위,보고싶었어, WSG워너비 (4FIRE),알앤비/소울
2위,정이라고 하자 (Feat. 10CM), BIG Naughty (서동현),알앤비/소울
3위,_WORLD, 세븐틴(SEVENTEEN),알앤비/소울
4위,아무래도 난, 주시크 (Joosiq),알앤비/소울
5위,GANADARA (Feat. 아이유), 박재범,알앤비/소울
6위,낭만교향곡 (Feat. CHANGMO,,알앤비/소울
7위,너를 생각해, 주시크 (Joosiq),알앤비/소울
8위,One More Time, 폴킴(Paul Kim),알앤비/소울
9위,Playlist, 비오(B.O.),알앤비/소울
10위,Fallin’ Flower (Korean Ver.), 세븐틴(SEVENTEEN),알앤비/소울
11위,Need To Know, 박재범,알앤비/소울
12위,헤픈 우연, 헤이즈(Heize),알앤비/소울
13위,Vancouver, BIG Naughty (서동현),알앤비/소울
14위,Missing Call, 비오(B.O.),알앤비/소울
15위,Timeless, SG워너비,알앤비/소울
16위,Square (2017), 백예린 (Yerin Baek),알앤비/소울
17위,All I Wanna Do (K) (Feat. Hoody,,알앤비/소울
18위,Like a Dream (Feat. Ashley Alisha,,알앤비/소울
19위,여기저기거기 Pt.2 (Feat. 아넌딜라이트,,알앤비/소울
20위,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온), 마크툽(MAKTUB),알앤비/소울
21위,사랑이란(PROD.로코베리), 양다일,알앤비/소울
22위,그건 아마 우리의 잘못은 아닐 거야, 백예린 (Yerin Baek),알앤비/소울
23위,다시 만나볼래, 런치,알앤비/소울
24위,찰나가 영원이 될 때 (The Eternal Moment), 마크툽(MAKTUB),알앤비/소울
25위,PADO, 비비(BIBI),알앤비/소울
26위,사랑의 인사, 씨야(SeeYa),알앤비/소울
27위,바다 가자, 로지(ROZY),알앤비/소울
28위,삐삐, 아이유(IU),알앤비/소울
29위,Coin, 아이유(IU),알앤비/소울
30위,WE (Oui), OuiOui(위위),알앤비/소울
31위,미안해, 양다일,알앤비/소울
32위,벌써 일년, 브라운 아이즈(Brown Eyes),알앤비/소울
33위,비 오는 날 듣기 좋은 노래, 윤하(Younha/ユンナ),알앤비/소울
34위,꽃 길, BIGBANG (빅뱅),알앤비/소울
35위,비, 폴킴(Paul Kim),알앤비/소울
36위,Favorite (Vampire), NCT 127,알앤비/소울
37위,YOU AND I, 박봄 (Park Bom),알앤비/소울
38위,RIDE (feat. THAMA), SOLE(쏠),알앤비/소울
39위,팔레트 (Feat. G,DRAGON) ,알앤비/소울
40위,D (half moon) (Feat. 개코), DEAN(딘),알앤비/소울
41위,Bye bye my blue, 백예린 (Yerin Baek),알앤비/소울
42위,I LIKE IT, STAYC(스테이씨),알앤비/소울
43위,썸 2 (Feat. 정용화), 소유 (SOYOU),알앤비/소울
44위,내사람: Partner For Life, SG워너비,알앤비/소울
45위,북극성 (Never Goodbye), NCT DREAM,알앤비/소울
46위,찬란한 계절, 폴킴(Paul Kim),알앤비/소울
47위,밝게 빛나는 별이 되어 비춰줄게, 송이한,알앤비/소울
48위,다라리 (DARARI), TREASURE(트레저),알앤비/소울
49위,한숨, 이하이,알앤비/소울
50위,310, 백예린 (Yerin Baek),알앤비/소울
51위,그런일은, 박화요비,알앤비/소울
52위,돌아오지마 (Feat. 용준형 of 비스트), 헤이즈(Heize),알앤비/소울
53위,도망가자 (Run With Me), 선우정아(Sunwoojunga),알앤비/소울
54위,YACHT (k) (Feat. Sik,K) ,알앤비/소울
55위,MY LOVE (Feat. RAVI), 서인국,알앤비/소울
56위,Lie (Original Ver.), 박화요비,알앤비/소울
57위,마지막 인사 (To My First), NCT DREAM,알앤비/소울
58위,어떤가요, 박화요비,알앤비/소울
59위,우리의 새벽은 낮보다 뜨겁다, 세븐틴(SEVENTEEN),알앤비/소울
60위,Break Away, WSG워너비 조별경연 (할미봉),알앤비/소울
61위,? (물음표) (feat. 최자 Of 다이나믹듀오,,알앤비/소울
62위,...사랑했잖아..., 린(LYn),알앤비/소울
63위,What Do I Call You, 태연 (TAEYEON),알앤비/소울
64위,Boat, 죠지,알앤비/소울
65위,Lovey Dovey (Feat. meenoi), BIG Naughty (서동현),알앤비/소울
66위,너,,알앤비/소울
67위,천생연분 (Rave), 솔리드(Solid),알앤비/소울
68위,한여름밤의 꿀, San E(산이),알앤비/소울
69위,사랑인걸, 모세(Mose),알앤비/소울
70위,instagram, DEAN(딘),알앤비/소울
71위,바람기억, 나얼(Na,알앤비/소울
72위,무제(無題) (Untitled,,알앤비/소울
73위,좋아 (JOAH), 박재범,알앤비/소울
74위,그땐 그땐 그땐, 슈프림팀(Supreme Team),알앤비/소울
75위,DOMINO, ITZY (있지),알앤비/소울
